country_codes,task,year
KHM,exp1_baseline,2025
KHM,exp1_baseline,2026
KHM,exp1_baseline,2027
KHM,exp1_baseline,2028
KHM,exp1_baseline,2029
KHM,exp1_baseline,2030
KHM,exp1_baseline,2031
KHM,exp1_baseline,2032
KHM,exp1_baseline,2033
KHM,exp1_baseline,2034
KHM,exp1_baseline,2035
KHM,exp1_baseline,2036
KHM,exp1_baseline,2037
KHM,exp1_baseline,2038
KHM,exp1_baseline,2039
KHM,exp1_baseline,2040
KHM,exp1_baseline,2041
KHM,exp1_baseline,2042
KHM,exp1_baseline,2043
KHM,exp1_baseline,2044
KHM,exp1_baseline,2045
KHM,exp1_baseline,2046
KHM,exp1_baseline,2047
KHM,exp1_baseline,2048
KHM,exp1_baseline,2049
KHM,exp1_baseline,2050
SDN,exp1_baseline,2025
SDN,exp1_baseline,2026
SDN,exp1_baseline,2027
SDN,exp1_baseline,2028
SDN,exp1_baseline,2029
SDN,exp1_baseline,2030
SDN,exp1_baseline,2031
SDN,exp1_baseline,2032
SDN,exp1_baseline,2033
SDN,exp1_baseline,2034
SDN,exp1_baseline,2035
SDN,exp1_baseline,2036
SDN,exp1_baseline,2037
SDN,exp1_baseline,2038
SDN,exp1_baseline,2039
SDN,exp1_baseline,2040
SDN,exp1_baseline,2041
SDN,exp1_baseline,2042
SDN,exp1_baseline,2043
SDN,exp1_baseline,2044
SDN,exp1_baseline,2045
SDN,exp1_baseline,2046
SDN,exp1_baseline,2047
SDN,exp1_baseline,2048
SDN,exp1_baseline,2049
SDN,exp1_baseline,2050
ARG,exp1_baseline,2025
ARG,exp1_baseline,2026
ARG,exp1_baseline,2027
ARG,exp1_baseline,2028
ARG,exp1_baseline,2029
ARG,exp1_baseline,2030
ARG,exp1_baseline,2031
ARG,exp1_baseline,2032
ARG,exp1_baseline,2033
ARG,exp1_baseline,2034
ARG,exp1_baseline,2035
ARG,exp1_baseline,2036
ARG,exp1_baseline,2037
ARG,exp1_baseline,2038
ARG,exp1_baseline,2039
ARG,exp1_baseline,2040
ARG,exp1_baseline,2041
ARG,exp1_baseline,2042
ARG,exp1_baseline,2043
ARG,exp1_baseline,2044
ARG,exp1_baseline,2045
ARG,exp1_baseline,2046
ARG,exp1_baseline,2047
ARG,exp1_baseline,2048
ARG,exp1_baseline,2049
ARG,exp1_baseline,2050
CPV,exp1_baseline,2025
CPV,exp1_baseline,2026
CPV,exp1_baseline,2027
CPV,exp1_baseline,2028
CPV,exp1_baseline,2029
CPV,exp1_baseline,2030
CPV,exp1_baseline,2031
CPV,exp1_baseline,2032
CPV,exp1_baseline,2033
CPV,exp1_baseline,2034
CPV,exp1_baseline,2035
CPV,exp1_baseline,2036
CPV,exp1_baseline,2037
CPV,exp1_baseline,2038
CPV,exp1_baseline,2039
CPV,exp1_baseline,2040
CPV,exp1_baseline,2041
CPV,exp1_baseline,2042
CPV,exp1_baseline,2043
CPV,exp1_baseline,2044
CPV,exp1_baseline,2045
CPV,exp1_baseline,2046
CPV,exp1_baseline,2047
CPV,exp1_baseline,2048
CPV,exp1_baseline,2049
CPV,exp1_baseline,2050
PER,exp1_baseline,2025
PER,exp1_baseline,2026
PER,exp1_baseline,2027
PER,exp1_baseline,2028
PER,exp1_baseline,2029
PER,exp1_baseline,2030
PER,exp1_baseline,2031
PER,exp1_baseline,2032
PER,exp1_baseline,2033
PER,exp1_baseline,2034
PER,exp1_baseline,2035
PER,exp1_baseline,2036
PER,exp1_baseline,2037
PER,exp1_baseline,2038
PER,exp1_baseline,2039
PER,exp1_baseline,2040
PER,exp1_baseline,2041
PER,exp1_baseline,2042
PER,exp1_baseline,2043
PER,exp1_baseline,2044
PER,exp1_baseline,2045
PER,exp1_baseline,2046
PER,exp1_baseline,2047
PER,exp1_baseline,2048
PER,exp1_baseline,2049
PER,exp1_baseline,2050
MEX,exp1_baseline,2025
